"","GEOID","peopleOfColor","peopleOfColor_pcntl","highSchool","highSchool_pcntl","percent_lowincome","percent_lowincome_pcntl","percent_lingiso","percent_lingiso_pcntl","percent_disability","percent_disability_pcntl","HH_Burdened_Pct","HH_Burdened_Pct_pcntl","socEco2","socEco_geoMean","socEco_arthMean","geoMeanDist","arthMean","arthMeanDist"
"35","08067",0.212877663844414,54.6875,0.0424302656695015,23.4375,0.237384254955189,23.4375,0.00582729191520602,18.6440677966102,0.0900518623290901,23.4375,0.308938239882536,68.75,35.399011299435,31.0865517004316,35.399011299435,0.34375,0.28125,0.28125
"36","08069",0.173428034229025,40.625,0.0421235215621168,21.875,0.253377430466423,29.6875,0.0154793790732807,44.0677966101695,0.0966930413033823,28.125,0.323731398836675,79.6875,40.6779661016949,37.0953826543375,40.6779661016949,0.4375,0.375,0.375
"37","08071",0.475129406448435,92.1875,0.125877055817722,78.125,0.417339916217834,85.9375,0.0233883058470765,57.6271186440678,0.240909090909091,93.75,0.32383808095952,81.25,81.4795197740113,80.4781014603209,81.4795197740113,0.96875,0.953125,0.953125
"38","08073",0.279750939117706,65.625,0.088545127585551,53.125,0.336582568807339,60.9375,0.00461133069828722,16.9491525423729,0.159142857142857,67.1875,0.27733860342556,37.5,50.2206920903955,45.6688530892883,50.2206920903955,0.5625,0.484375,0.484375
"39","08075",0.210190018346092,53.125,0.0938891030881247,57.8125,0.360558139534884,70.3125,0.00440843560109615,15.2542372881356,0.141572726028022,56.25,0.276063386155129,35.9375,48.1152895480226,43.3746203574522,48.1152895480226,0.53125,0.4375,0.4375
"40","08077",0.186450837115971,46.875,0.0973796207974267,60.9375,0.322429685333838,50,0.0104305011175537,28.8135593220339,0.15024412338722,60.9375,0.311748890544524,75,53.760593220339,51.5691279460606,53.760593220339,0.703125,0.578125,0.578125
"41","08079",0.135922330097087,18.75,0.025824964131994,10.9375,0.303398058252427,45.3125,0,0,0.146844660194175,59.375,0.215258855585831,12.5,24.4791666666667,13.7966982629618,24.4791666666667,0.09375,0.109375,0.109375
"42","08081",0.164642830659534,39.0625,0.108795076972617,67.1875,0.330692917019149,56.25,0.0229221021244875,55.9322033898305,0.113047501542258,39.0625,0.29071934401789,54.6875,52.0303672316384,51.0207508990461,52.0303672316384,0.6875,0.53125,0.53125
"43","08083",0.315293550097879,70.3125,0.104933772523653,64.0625,0.360224849777089,68.75,0.0124824026278742,32.2033898305085,0.173151299504951,75,0.244955419990615,23.4375,55.6276483050847,50.9679552153621,55.6276483050847,0.65625,0.640625,0.640625
"44","08085",0.222765598645566,60.9375,0.104986963505365,65.625,0.337039644582554,62.5,0.0377479579929988,71.1864406779661,0.158195234063143,65.625,0.288098016336056,48.4375,62.3852401129944,61.9555733382764,62.3852401129944,0.78125,0.765625,0.765625
"45","08087",0.398956915284072,81.25,0.192378593521065,96.875,0.378362969033959,71.875,0.0648792093704246,98.3050847457627,0.11210602991863,37.5,0.297767203513909,60.9375,74.4570974576271,70.9061879627711,74.4570974576271,0.828125,0.828125,0.828125
"46","08089",0.435078171556389,87.5,0.131101040389497,82.8125,0.494763958111665,92.1875,0.024993524993525,61.0169491525424,0.210174547061423,90.625,0.282957782957783,45.3125,76.5757415254237,74.2361464443895,76.5757415254237,0.875,0.859375,0.859375
"47","08091",0.042952460383653,1.5625,0.022331861854064,6.25,0.190854040509501,10.9375,0.00231160425335183,5.08474576271187,0.114678899082569,40.625,0.339805825242718,92.1875,26.1078742937853,11.256208457652,26.1078742937853,0.046875,0.140625,0.140625
"48","08093",0.0953418152320836,4.6875,0.0244776710107352,7.8125,0.21516625197919,12.5,0.00086567594863656,1.69491525423729,0.128650355169692,50,0.279613331409609,42.1875,19.8137358757062,10.855683790341,19.8137358757062,0.03125,0.046875,0.046875
