"","GEOID","under5","under5_pcntl","over64","over64_pcntl","heartDisease","heartDisease_pcntl","asthma","asthma_pcntl","lifeExpectancy","lifeExpectancy_pcntl","lowBirthWeight","lowBirthWeight_pcntl","cancer","cancer_pcntl","mentalHealth","mentalHealth_pcntl","diabetes","diabetes_pcntl","senPop_geom","senPop_arth"
"40","08077",0.05655853287957,64.0625,0.185838495357781,56.25,3.4,60.9375,628.225172413793,82.8125,78.4185185185185,80.6451612903226,6.19758620689655,14.7540983606557,7.30344827586207,54.6875,8.41034482758621,45.3125,14.5551724137931,84.375,54.8911056405671,60.4263066278865
"41","08079",0.018203883495146,3.125,0.268203883495145,90.625,3.1,48.4375,116.51,7.8125,NA,NA,NA,NA,9.6,98.4375,9.1,60.9375,11.4,7.8125,24.3132813528468,45.3125
"42","08081",0.0686852807639182,87.5,0.140233169007667,20.3125,3.4,60.9375,445.4775,59.375,77.925,90.3225806451613,6.8425,34.4262295081967,6.8,39.0625,8.825,53.125,15.4,93.75,53.9783402428739,59.8679233503731
"43","08083",0.0596410650424323,73.4375,0.203581969545744,65.625,4.3,79.6875,287.351428571429,31.25,80.8285714285714,32.258064516129,8.63666666666667,72.1311475409836,7.8,67.1875,10.1571428571429,76.5625,15.5285714285714,96.875,62.1903160483641,66.1126902285681
"44","08085",0.0532676988869655,60.9375,0.234622942685227,76.5625,3.6,64.0625,327.839,39.0625,79.38,62.9032258064516,5.532,6.55737704918033,8.2,75,9.56,70.3125,13.76,56.25,48.2920905965321,56.8497892061813
"45","08087",0.0664067369294569,82.8125,0.163451743967009,35.9375,4,73.4375,552.7475,75,79.7125,56.4516129032258,4.95285714285714,3.27868852459016,7.025,46.875,9.075,57.8125,14.475,79.6875,44.2854850660145,56.8103112697573
"46","08089",0.0574296275170163,65.625,0.208789414465206,67.1875,5.7,85.9375,808.204285714286,95.3125,76.9428571428572,91.9354838709677,7.81666666666667,60.655737704918,7.98571428571429,71.875,12.7285714285714,96.875,14.7285714285714,90.625,79.5158432975168,80.6698579528762
"47","08091",0.042743953294412,31.25,0.277314428690575,95.3125,6.2,89.0625,126.44,9.375,83.2,3.2258064516129,9.17,73.7704918032787,8.6,87.5,8,40.625,11,4.6875,27.7824134700032,48.312088694988
"48","08093",0.0371022300236048,15.625,0.217106774537265,70.3125,7.9,92.1875,336.462,40.625,80.45,41.9354838709677,9.776,81.9672131147541,7.44,57.8125,7.98,37.5,12.76,32.8125,46.4471560189838,52.3086329984135
"49","08095",0.078713643574828,95.3125,0.189673453199365,57.8125,8.7,96.875,584.225,79.6875,80.1,48.3870967741936,7.06,40.9836065573771,9.15,92.1875,9.45,68.75,12.9,37.5,64.7654299302499,68.6106337035078
"50","08097",0.0481951904761005,42.1875,0.168643613475831,40.625,1.3,12.5,240.9825,26.5625,82.425,9.67741935483871,7.025,39.344262295082,6.55,29.6875,5.9,9.375,10.775,3.125,17.89777784067,23.6760201833245
"51","08099",0.0691404598711098,89.0625,0.180440708067472,50,8,93.75,372.166,50,78.86,72.5806451612903,6.726,27.8688524590164,7.36,56.25,10.28,78.125,14.72,89.0625,63.3894607625347,67.4110552911452
"52","08101",0.0532457934213999,59.375,0.175570856066837,45.3125,4.3,79.6875,1004.51592592593,100,76.3607843137255,96.7741935483871,8.33078431372549,67.2131147540984,6.6462962962963,32.8125,10.5592592592593,82.8125,15.5240740740741,95.3125,69.1425849692731,73.2555342558317
"53","08103",0.0635315205627705,76.5625,0.146086985930735,23.4375,4.3,79.6875,202.995,20.3125,78.95,67.741935483871,6.985,37.7049180327869,6.85,40.625,7.65,32.8125,14.6,85.9375,45.5844676230532,51.646872612962
"54","08105",0.0531372603424077,56.25,0.195550256818869,59.375,4.1,75,487.263333333333,65.625,78.9333333333333,69.3548387096774,9.39333333333333,78.6885245901639,7.23333333333333,50,11.6333333333333,90.625,13.9666666666667,62.5,66.492312554013,67.4909292555379
