,GEOID,peopleOfColor,peopleOfColor_pcntl,highSchool,highSchool_pcntl,percent_lowincome,percent_lowincome_pcntl,percent_lingiso,percent_lingiso_pcntl,percent_disability,percent_disability_pcntl,HH_Burdened_Pct,HH_Burdened_Pct_pcntl,socEco_geoMean,geoMeanDist,socEco_arthMean,arthMeanDist,geoMeanRank - arthMeanRank
716,80130122011,0.059854015,6.662853875,0,0,0.309489051,63.27586207,0.020501139,28,0.057737321,10.85535664,0.414578588,78.6163522,14.69610443,0.261325028,31.2350708,0.310588901,-0.049263873
1152,80310028022,0.123268698,21.24678296,0.024038462,19.90950226,0.367036011,72.5,0,0,0.081087763,27.70673487,0.525362319,93.05317324,20.71737313,0.39382786,39.06936555,0.443091733,-0.049263873
30,80010084011,0.22680776,46.0394624,0.070827142,52.58564964,0.33968254,68.01724138,0.004110997,0.6875,0.09501808,40.83546462,0.360739979,67.29559748,26.03068278,0.507644394,45.91015259,0.556908267,-0.049263873
2182,80590098331,0.147123894,27.62367744,0.044642857,36.42533937,0.39159292,75.60344828,0,0,0.104431529,50.78147201,0.476095618,88.25042882,26.43066778,0.516138165,46.44739432,0.565402039,-0.049263873
1028,80310004014,0.356929212,66.25679154,0.076260763,55.62378798,0.39780658,76.43678161,0,0,0.126631491,67.51918159,0.251815981,36.36363636,29.7381973,0.572763307,50.36669651,0.621744054,-0.048980747
3452,81230021011,0.404761905,71.4612525,0.129268293,73.17388494,0.324929972,65.97701149,0,0,0.092979503,38.87468031,0.307936508,53.40194397,29.91166207,0.57587769,50.4814622,0.624858437,-0.048980747
289,80050056142,0.069565217,8.607377752,0,0,0.210144928,44.05172414,0,0,0.118306351,61.83574879,0.137184116,6.861063465,7.374696283,0.092582106,20.22598569,0.141562854,-0.048980747
328,80050056342,0.059701493,6.605661996,0.047619048,38.65546218,0.208791209,43.73563218,0,0,0.12327478,65.3026428,0.36770692,69.06803888,19.21742013,0.359852775,37.22790634,0.408833522,-0.048980747
949,80179606002,0.053719008,5.576208178,0.046822742,38.13833226,0.221982759,46.95402299,0,0,0.121533031,64.10912191,0.113924051,4.145225843,11.76630907,0.188844847,26.48715186,0.237542469,-0.048697622
1188,80310032023,0.097804391,14.78410066,0.008733624,3.846153846,0.216543376,45.34482759,0,0,0.099732063,45.69479966,0.381489842,72.01257862,14.28139867,0.25,30.28041006,0.298697622,-0.048697622
1653,80370005021,0.219981238,44.66685731,0.112596763,69.26308985,0.262664165,54.51149425,0.040677966,51.625,0.030076997,1.079852231,0.452542373,85.22012579,30.47593125,0.586919592,51.0610699,0.635617214,-0.048697622
919,80140310001,0.317124736,60.90935087,0,0,0.231148696,48.85057471,0.038240918,49.4375,0.057930553,11.02585962,0.403441683,76.27215552,22.32191438,0.42610419,41.08257345,0.474518686,-0.048414496
3208,81010031032,0.940559441,99.68544467,0.19804401,85.77892696,0.328671329,66.55172414,0.02764977,38.3125,0.223832528,96.41943734,0.133640553,6.289308176,48.62727561,0.766987542,65.50622355,0.815118913,-0.04813137
1706,80410006003,0.191674734,38.43294252,0.047073791,38.33225598,0.338818974,67.84482759,0,0,0.154821488,81.64251208,0.367391304,69.01086335,28.73666928,0.55605889,49.21056692,0.603907135,-0.047848245
2773,80690023001,0.036160421,2.573634544,0.06401249,48.83645766,0.212360289,44.51149425,0,0,0.06803302,17.76072748,0.333774834,60.52029731,13.4850999,0.2301812,29.03376854,0.278029445,-0.047848245
2051,80439783001,0.197297297,39.66256792,0.032802249,28.18358112,0.345760234,69.16666667,0,0,0.155025223,81.75618073,0.360655738,67.23842196,27.42007635,0.532842582,47.66790307,0.580407701,-0.047565119
394,80050067111,0.19047619,38.06119531,0.020463847,15.99870718,0.061688312,9.683908046,0,0,0.079289941,26.22904234,0.02266289,0.057175529,4.547455233,0.028878822,15.00500473,0.076443941,-0.047565119
747,80130125091,0.135788262,24.67829568,0.020700637,16.22495152,0.06482593,10.31609195,0,0,0.101515152,47.65558397,0.027692308,0.142938822,5.515009884,0.047848245,16.50297699,0.095413364,-0.047565119
1006,80310002023,0.351585014,65.48470117,0.1011378,65.83710407,0.120076849,24.08045977,0,0,0.152770844,81.04575163,0.28375286,45.96912521,26.9926365,0.525198188,47.06952364,0.572763307,-0.047565119
3016,80870007002,0.201434549,40.49185016,0.176074136,82.51454428,0.2623498,54.36781609,0,0,0.124913734,66.26882637,0.32183908,57.34705546,29.72875598,0.572197055,50.16501539,0.619762174,-0.047565119
1021,80310003033,0.197685632,39.69116385,0.068877551,51.74531351,0.016393443,0.862068966,0,0,0.081057651,27.59306621,0.114224138,4.173813608,7.671965599,0.100509626,20.67757103,0.148074745,-0.047565119
1112,80310017022,0.243386243,48.67028882,0,0,0.358802272,71.37931034,0.016367888,20.4375,0.1249165,66.3256607,0.367887763,69.15380217,26.2297176,0.511325028,45.99442701,0.558607022,-0.047281993
3127,81010012002,0.736716891,93.59450958,0.191831683,85.03555268,0.641554322,95.40229885,0.013452915,14.875,0.261640798,98.66439329,0.401345291,75.81475129,66.24149849,0.869195923,77.23108428,0.916477916,-0.047281993
3214,81010031053,0.291711518,57.42064627,0.124837451,72.23658694,0.272335845,56.46551724,0,0,0.145385955,78.00511509,0.216494845,25.87192682,27.91001545,0.543035108,48.33329873,0.590033975,-0.046998867
92,80010085455,0.463194444,76.75150129,0.160714286,79.86425339,0.077777778,13.41954023,0,0,0.081395349,28.21824382,0.25698324,37.59291023,21.06050659,0.399490374,39.30774149,0.446489241,-0.046998867
2256,80590102093,0.317751809,60.96654275,0.079375848,57.30446025,0.046188091,6.264367816,0,0,0.120854497,63.4839443,0.1816839,15.92338479,16.75493533,0.308607022,33.99044998,0.355605889,-0.046998867
852,80130135034,0.272101033,54.16070918,0.150242326,77.76341306,0.391504018,75.57471264,0,0,0.102910798,48.93435635,0.280757098,44.88279017,29.79122178,0.573329558,50.21933023,0.620328426,-0.046998867
2250,80590102081,0.267685342,53.13125536,0.092495637,63.25145443,0.33729485,67.5,0,0,0.098292088,44.30235862,0.400335008,75.55746141,30.20448455,0.582106455,50.62375497,0.629105323,-0.046998867
2150,80559609001,0.11328125,18.47297684,0.045735476,37.36263736,0.358398438,71.26436782,0,0,0.168227033,85.87666951,0.296660118,50,24.40330647,0.475368063,43.82944192,0.522366931,-0.046998867
922,80140311001,0.212815405,43.03688876,0.004003559,0.58177117,0.214668453,45,0.022502744,31.1875,0.100673293,46.80306905,0.433589462,82.01829617,22.64619291,0.434597961,41.43792086,0.481313703,-0.046715742
2616,80690002012,0.099826389,15.12725193,0.028965517,24.72527473,0.361111111,71.66666667,0,0,0.07218611,21.14236999,0.493457944,90.05145798,19.25944634,0.361268403,37.11883688,0.407984145,-0.046715742
1880,80410045113,0.478520815,78.23849013,0.041118975,34.09825469,0.18578388,39.05172414,0,0,0.113144028,58.70986076,0.430868167,81.53230417,28.16040728,0.54813137,48.60510565,0.594563986,-0.046432616
1693,80410002033,0.259201253,51.61567057,0.02919708,24.98383969,0.525450274,88.76436782,0,0,0.077819199,25.29127593,0.376689189,71.01200686,24.29388613,0.471970555,43.61119348,0.518120045,-0.04614949
3187,81010029012,0.646551724,88.9619674,0.228688525,89.10795087,0.544252874,90.22988506,0.015421115,18.125,0.244225543,97.66979255,0.486358244,89.42252716,69.5546351,0.888165345,78.91952051,0.934314836,-0.04614949
3293,81170004022,0.121405751,20.47469259,0,0,0.188498403,39.59770115,0,0,0.025892116,0.682011935,0.241666667,33.3619211,5.140299196,0.039354473,15.68605446,0.085503964,-0.04614949
2546,80590158001,0.248937462,49.84272233,0.019716088,14.9321267,0.166463415,35,0,0,0.135763098,73.37311736,0.411907655,78.24471126,23.03901486,0.442808607,41.89877961,0.488958097,-0.04614949
1181,80310032011,0.117575015,19.30225908,0,0,0.309859155,63.33333333,0,0,0.041858876,3.324808184,0.223803364,27.95883362,6.959654631,0.080407701,18.98653904,0.126274066,-0.045866365
202,80010093261,0.48989899,79.26794395,0.068580542,51.55138979,0.240022805,50.37356322,0,0,0.148384807,79.28388747,0.247391952,34.76272156,28.77221024,0.557474519,49.20658433,0.603340883,-0.045866365
2294,80590104023,0.196463654,39.40520446,0.107391911,67.42081448,0.233791749,49.2816092,0,0,0.111005512,56.69224211,0.454545455,85.59176672,29.32004826,0.566817667,49.7319395,0.612684032,-0.045866365
3253,81070007001,0.190261866,37.97540749,0.015255129,10.14867485,0.215220949,45.14367816,0,0,0.037158694,1.875532822,0.331020813,59.74842767,11.17703589,0.178369196,25.81528683,0.223952435,-0.045583239
993,80299651002,0.356825397,66.2281956,0.222978723,88.46153846,0.477762803,85.37356322,0.009469697,6.4375,0.222538124,96.27735152,0.327651515,58.94797027,51.32218942,0.784541336,66.95435318,0.82984145,-0.045300113
2631,80690005052,0.235595391,47.38347155,0.074213836,54.42792502,0.51029601,87.98850575,0,0,0.083864119,30.66211992,0.369982548,69.55403087,28.01989561,0.545016988,48.33600885,0.590317101,-0.045300113
1666,80399611002,0.07320442,9.236488419,0.06359447,48.64253394,0.341085271,68.41954023,0,0,0.109645132,55.24296675,0.314475874,55.00285878,21.30071826,0.402887882,39.42406469,0.448187995,-0.045300113
1784,80410031003,0.165024631,32.1704318,0,0,0.061576355,9.655172414,0,0,0.130198488,70.10514351,0.201657459,21.24070898,8.794057531,0.123442809,22.19524278,0.168742922,-0.045300113
2552,80590603002,0.16627907,32.45639119,0,0,0.160465116,33.67816092,0,0,0.051655905,7.104290992,0.332167832,60.2058319,8.809839237,0.123725934,22.24077917,0.169026048,-0.045300113
1505,80350139111,0.273164862,54.53245639,0,0,0.054151625,7.931034483,0,0,0.071399594,20.06251776,0.295202952,49.514008,8.686598246,0.120611552,22.00666944,0.165628539,-0.045016988
3026,80899681003,0.523992322,82.04175007,0.316216216,95.1195863,0.47553816,85.11494253,0.251968504,97.625,0.1966759,93.57772094,0.18503937,16.75242996,68.31567022,0.882219706,78.37190497,0.927236693,-0.045016988
3177,81010028043,0.073964497,9.379468116,0.080645161,57.95087266,0.140039448,28.79310345,0,0,0.183418151,90.93492469,0.240208877,32.99028016,18.99359751,0.355605889,36.67477485,0.400622877,-0.045016988
2421,80590117323,0.134281201,23.9633972,0.037117904,31.18939884,0.31121643,63.67816092,0,0,0.093920335,39.78402955,0.705084746,99.39965695,23.93903242,0.464609287,43.00244058,0.509060023,-0.044450736
1643,80370003021,0.015238095,0.629110666,0,0,0.156190476,32.64367816,0,0,0.07723036,24.69451549,0.247747748,34.87707261,5.104397005,0.038221971,15.47406282,0.082672707,-0.044450736
2836,80759663003,0.164075993,31.8844724,0.05,40.14221073,0.293560606,60.54597701,0,0,0.1369433,74.22563228,0.4375,82.79016581,27.94471889,0.543884485,48.26474304,0.588335221,-0.044450736
2758,80690019023,0.136567835,25.05004289,0.054945055,43.63283775,0.173007246,36.20689655,0,0,0.184826655,91.38959932,0.386454183,72.87021155,25.32075627,0.492638732,44.85826468,0.537089468,-0.044450736
